"gbifID","decimalLatitude","decimalLongitude"
2612536676,42.823425,13.292435
2612536675,42.872918,13.206016
2612536672,42.872918,13.206016
2612536669,42.872918,13.206016
2612536666,42.872918,13.206016
2612536662,42.97393,13.289727
2612536660,42.97393,13.289727
2612536658,42.97393,13.289727
2612536629,42.872918,13.206016
2612536626,42.924289,13.205213
2612536625,42.97393,13.289727
2612536622,42.872918,13.206016
2612536621,42.924289,13.205213
2612536619,42.823425,13.292435
2612536618,42.723192,13.208614
2612536611,42.723192,13.208614
2611619624,47.97361,16.19778
2611604636,47.97361,16.19778
2611603718,48.11694,16.22722
2611602779,47.44639,13.68806
2611601645,47.40417,13.67917
2609725962,44.410554,9.034737
2609724262,44.411493,8.932699
2609723283,44.47301,9.01125
2609721462,44.442453,9.026462
2609720433,44.443363,8.847865
2609716914,44.435383,8.965255
2609712886,44.420407,8.984232
2597553818,47.43944,13.62417
2597222692,42.63,-1
2591954026,45.05338,6.36725
2591142514,44.17959,5.31423
2590738562,45.04947,6.49415
2589096039,44.95952,6.48854
2588313144,44.17959,5.31423
2588287354,43.17216,6.01166
2586976735,43.77374,6.9135
2584808109,44.80384,5.59298
2584748281,45.86686,6.28792
2584630732,46.03898,6.55707
2582537223,44.70767,5.84119
2581597182,44.98671,5.47451
2581501044,45.94903,6.55126
2573309088,47.97361,16.19778
2558255745,42.69,-0.11
2558254501,40.4,-1.84
2558253728,40.27,-2.06
2558249335,42.63,-1
2558237082,40.35,-2.07
2556204081,50.9329,-0.6359
2542591547,47.42917,13.64833
2521425452,42.66,0.86
2521421616,42.726,0.917
2521404509,42.297,-0.216
2521404504,42.346,0.007
2521400512,42.297,-0.228
2521394410,40.75,0.22
2521390144,42.14,2.33
2521389828,42.75,0.98
2521387579,42.6408,-3.0213
2521384373,42.712004,0.911014
2521383129,42.684,0.4538
2521382045,42.53,-0.62
2521376600,42.623,-2.5763
2521374510,42.297,-0.228
2521373501,42.285,-0.107
2521372543,42.49,2.09
2521372490,42.414,-0.199
2521370505,42.298,-0.24
2521368975,42.4,2.09
2521355381,40.3572,-0.6923
2515483653,46.616667,8.05
2515323034,46.65,7.916667
2515204028,51.96214,5.571116
2514642574,47.133333,7.066667
2449319810,44.0687,7.5221
2449319565,44.069,7.49568
2439805955,41.24528,20.52194
2382597739,47.06083,12.82306
2382597602,48.96583,17.82361
2382594706,48.95528,17.80472
2382590483,49.79472,24.71528
2382581486,48.766,19.13814
2313347471,48.02,11.54
2313347107,48.12,11.71
2313346601,48.17,11.71
2313346572,48.17,11.62
2313346461,48.08,11.55
2313346392,48.16,11.51
2313346133,48.17,11.71
2313346058,48.17,11.54
2313345882,48.22,11.46
2313345653,48.12,11.55
2313345563,48.07,11.54
2313345314,48.21,11.49
2313344971,48.27,11.62
2312419165,47.74,12.89
2306499893,47.31,2.83
2306162574,51.26,-0.32
2305445995,50.77,0.29
2244178231,43.881939,7.25694
2244176477,49.958057,8.028333
2244174529,43.881939,7.25694
1988595850,47.56278,13.63083
1949954603,46.431667,11.209167
1947380891,47.76,10.44
1947375200,50.43,9.76
1947373968,49.94,10.3
1947373938,50.37,9.96
1947373936,49.94,10.3
1947373865,49.92,10.32
1936699292,40.4263,-1.8554
1936615487,42.6594,13.4344
1936602227,42.7174,-3.8562
1936602011,43.0784,-3.7384
1936542959,43.031747,-4.166119
1936521362,41.2913,-1.7951
1936521220,40.7085,-2.0897
1936518774,38.4491,-2.4397
1936435209,41.0453,-2.9418
1936434655,42.9733,-1.0024
1936434363,42.6143,0.1946
1936434116,42.9825,-1.0144
1936422679,42.3148,2.6348
1936402005,42.8535,-0.8472
1936397377,42.2794,1.5678
1936369439,42.6784,0.6433
1936361031,42.0414,0.7636
1936361009,40.6534,-1.9722
1936357704,42.5938,-2.5991
1936357603,40.707,0.2763
1936357420,43.0152,-5.971
1936313036,43.076433,-3.235217
1936205061,41.2986,0.9028
1936173475,40.3739,-1.9411
1936172688,40.4639,-1.9397
1936172637,40.464,1.9373
1936172575,41.2342,-3.2519
1936172417,43.0355,-4.4621
